"Component ","R ","W0 ","Dt ","T1 ","T2 ","T3 ","vmax ","vmin "
"Machine Controls","R_param","W0_param","Dt_param","T1_param","T2_param","T3_param","vmax_param","vmin_param"
,,(pu),(pu),(s),(s),(s),(pu),(pu)
TGOV1_gen_1002_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1003_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1004_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1005_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1017_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1018_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1019_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1020_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1044_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1058_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1069_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1070_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1071_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1072_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1081_5,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1082_6,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1084_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_1085_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2036_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2037_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2038_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2040_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2041_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2043_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2044_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2045_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2046_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2047_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2063_11,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2064_12,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2069_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2073_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2322_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2323_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2324_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_2325_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3264_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3295_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3417_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3418_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3419_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3420_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3421_5,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3422_6,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3423_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3424_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3425_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3426_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3430_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3431_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3434_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3435_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3436_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3437_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3438_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3439_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3442_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3443_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3444_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3462_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3463_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3464_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3466_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3525_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3526_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3527_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3585_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3586_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3587_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3588_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3655_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_3656_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4027_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4028_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4029_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4030_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4033_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4034_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4035_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4036_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4052_11,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4053_12,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4054_18,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4058_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4059_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4061_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4062_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4064_3,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4065_4,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4066_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4067_2,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_4072_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_5016_6,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_5017_1,0.05,0,0,0.5,2.1,7,1,0
TGOV1_gen_5018_2,0.05,0,0,0.5,2.1,7,1,0
